file_name,block_name,variant,avg_color_srgb,avg_color_linear
acacia_log.png,Acacia Log,base,"(103, 96, 86)","(34, 29, 23)"
acacia_log_top.png,Acacia Log Top,top,"(150, 88, 55)","(79, 24, 8)"
acacia_planks.png,Acacia Planks,base,"(168, 90, 50)","(101, 25, 7)"
acacia_trapdoor.png,Acacia Trapdoor,base,"(119, 66, 39)","(47, 13, 4)"
amethyst_block.png,Amethyst Block,base,"(133, 97, 191)","(60, 30, 135)"
amethyst_cluster.png,Amethyst Cluster,base,"(89, 69, 113)","(25, 14, 42)"
ancient_debris_side.png,Ancient Debris,side,"(95, 63, 55)","(29, 11, 8)"
andesite.png,Andesite,base,"(136, 136, 136)","(63, 63, 63)"
azalea_leaves.png,Azalea Leaves,base,"(69, 88, 34)","(14, 24, 3)"
azalea_top.png,Azalea,top,"(101, 124, 47)","(33, 52, 6)"
bamboo_block.png,Bamboo Block,base,"(127, 144, 57)","(55, 72, 9)"
bamboo_block_top.png,Bamboo Block Top,top,"(139, 141, 62)","(67, 69, 11)"
bamboo_mosaic.png,Bamboo Mosaic,base,"(190, 170, 78)","(133, 104, 18)"
bamboo_planks.png,Bamboo Planks,base,"(193, 173, 80)","(138, 108, 19)"
bamboo_trapdoor.png,Bamboo Trapdoor,base,"(164, 148, 70)","(96, 77, 14)"
barrel_bottom.png,Barrel Bottom,bottom,"(115, 85, 48)","(44, 22, 6)"
barrel_side.png,Barrel Side,side,"(107, 81, 50)","(37, 20, 7)"
basalt_side.png,Basalt Side,side,"(73, 72, 77)","(16, 15, 18)"
basalt_top.png,Basalt Top,top,"(80, 81, 86)","(19, 20, 23)"
beacon.png,Beacon,base,"(117, 220, 215)","(45, 184, 175)"
bedrock.png,Bedrock,base,"(85, 85, 85)","(22, 22, 22)"
bee_nest_front.png,Bee Nest,front,"(183, 141, 76)","(122, 69, 17)"
beehive_front.png,Beehive,front,"(159, 128, 77)","(90, 55, 18)"
birch_leaves.png,Birch Leaves,base,"(73, 72, 73)","(16, 15, 16)"
birch_log.png,Birch Log,base,"(216, 215, 210)","(176, 175, 166)"
birch_log_top.png,Birch Log Top,top,"(193, 179, 135)","(138, 117, 62)"
birch_planks.png,Birch Planks,base,"(192, 175, 121)","(136, 111, 49)"
birch_trapdoor.png,Birch Trapdoor,base,"(207, 194, 157)","(161, 139, 87)"
black_concrete.png,Black Concrete,base,"(8, 10, 15)","(0, 0, 0)"
black_concrete_powder.png,Black Concrete Powder,base,"(25, 26, 31)","(1, 1, 2)"
black_glazed_terracotta.png,Black Glazed Terracotta,base,"(67, 30, 32)","(13, 2, 2)"
black_stained_glass.png,Black Stained Glass,base,"(25, 25, 25)","(1, 1, 1)"
black_terracotta.png,Black Terracotta,base,"(37, 22, 16)","(3, 1, 0)"
black_wool.png,Black Wool,base,"(20, 21, 25)","(0, 1, 1)"
blackstone.png,Blackstone,base,"(42, 35, 40)","(4, 3, 4)"
